City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,turabah,21.2141,41.6331,22.9,40,35,5.46,SA,1730174674
175,kavaratti,10.5669,72.642,27.57,72,51,2.53,IN,1730174675
176,saint-francois,46.4154,3.9054,9.8,100,100,0.51,FR,1730174676
177,grado,43.388,-6.0743,12.28,98,0,2.06,ES,1730174478
178,sandnessjoen,66.0217,12.6316,4.48,73,100,6.81,NO,1730174679
179,rongelap,11.1635,166.8941,28.81,75,77,3.54,MH,1730174412
180,jwaneng,-24.6004,24.7303,10.27,60,0,3.57,BW,1730174681
181,aykhal,66.0,111.5,-18.35,99,100,2.38,RU,1730174682
182,el fasher,13.6279,25.3494,22.3,19,6,2.75,SD,1730174683
183,prince albert,53.2001,-105.7677,1.97,69,75,4.12,CA,1730174468
184,uturoa,-16.7333,-151.4333,25.38,75,35,9.57,PF,1730174447
185,flin flon,54.7682,-101.865,0.98,77,73,4.57,CA,1730174270
186,cill airne,52.05,-9.5167,10.16,97,100,0.89,IE,1730174445
187,abnub,27.2696,31.1511,17.12,61,6,4.45,EG,1730174689
188,nova sintra,14.8667,-24.7167,25.67,69,37,6.66,CV,1730174279
189,anantapur,14.6833,77.6,28.5,57,17,3.64,IN,1730174691
190,talakag,8.2336,124.6003,30.21,52,84,3.25,PH,1730174693
191,nadi,-17.8,177.4167,29.0,65,40,6.17,FJ,1730174523
192,mukalla,14.5425,49.1242,26.54,74,0,1.74,YE,1730174695
193,el granada,37.5027,-122.4694,13.8,82,75,8.75,US,1730174696
194,arraial do cabo,-22.9661,-42.0278,21.63,86,100,5.53,BR,1730174461
195,guajara mirim,-10.7828,-65.3394,25.28,73,31,0.53,BR,1730174699
196,avarua,-21.2078,-159.775,24.03,73,75,5.66,CK,1730174350
197,chibougamau,49.9168,-74.3659,-2.21,80,75,3.09,CA,1730174479
198,shenjiamen,29.9576,122.298,18.94,64,95,7.35,CN,1730174702
199,aral,40.5156,81.2636,14.33,26,26,2.2,CN,1730174703
200,queenstown,-31.8976,26.8753,9.52,78,14,2.74,ZA,1730174296
201,weno,7.4515,151.8468,29.11,72,10,3.51,FM,1730174524
202,niksar,40.5917,36.9517,5.87,61,8,1.28,TR,1730174518
203,ilhabela,-23.7781,-45.3581,20.72,94,100,2.27,BR,1730174261
204,margaret river,-33.95,115.0667,23.04,55,13,6.18,AU,1730174368
205,sitka,57.0531,-135.33,6.94,81,75,4.63,US,1730174325
206,katsuren-haebaru,26.3369,127.8719,26.21,88,100,4.12,JP,1730174711
207,kutum,14.2,24.6667,18.29,20,0,3.58,SD,1730174713
208,new norfolk,-42.7826,147.0587,21.51,49,50,3.28,AU,1730174714
209,colares,38.7992,-9.4469,18.55,74,14,5.55,PT,1730174715
210,lethbridge,49.7,-112.8186,7.06,45,75,6.69,CA,1730174455
211,kuta,-8.7233,115.1723,30.97,74,20,4.63,ID,1730174717
212,sinop,41.7711,34.8709,8.34,52,38,1.48,TR,1730174718
213,hargeysa,9.56,44.065,20.14,75,85,3.04,SO,1730174495
214,dompu,-8.5356,118.4622,37.74,29,3,3.77,ID,1730174721
215,asubulaq,49.5583,83.0558,2.48,67,100,5.09,KZ,1730174722
216,papatowai,-46.5619,169.4708,11.99,54,43,5.7,NZ,1730174423
217,buka,40.8108,69.1986,9.28,56,85,0.83,UZ,1730174490
218,pangai,-19.8,-174.35,26.06,78,40,4.12,TO,1730174725
219,bhuj,23.2667,69.6667,29.68,51,7,4.2,IN,1730174727
220,bria,6.5423,21.9863,19.1,71,10,1.41,CF,1730174728
221,palikir - national government center,6.9248,158.1611,32.41,70,75,5.14,FM,1730174729
222,balcarce,-37.8462,-58.2552,14.9,87,7,3.37,AR,1730174730
223,nykvarn,59.8,18.3,-2.01,79,79,0.73,SE,1730174732
224,siwa oasis,29.2041,25.5195,17.95,70,19,2.96,EG,1730174434
225,wad medani,14.4012,33.5199,26.0,31,76,3.26,SD,1730174734
226,campo grande,-20.4428,-54.6464,22.75,94,40,3.09,BR,1730174473
227,lompoc,34.6391,-120.4579,13.94,82,100,7.72,US,1730174626
228,yuzhno-kurilsk,44.0306,145.8556,9.74,47,19,1.97,RU,1730174739
229,guerrero negro,27.9769,-114.0611,18.59,88,0,7.55,MX,1730174740
230,dingwall,57.5953,-4.4272,7.99,95,84,2.55,GB,1730174741
231,benghazi,32.1167,20.0667,19.81,69,14,4.05,LY,1730174742
232,utrik,11.2278,169.8474,28.75,76,36,4.66,MH,1730174431
233,vershino-darasunskiy,52.35,115.5167,2.86,60,42,2.44,RU,1730174745
234,nova vicosa,-17.8919,-39.3719,23.71,90,96,1.57,BR,1730174746
235,georgetown,5.4112,100.3354,27.97,84,40,2.24,MY,1730174274
236,ko pha ngan,9.7578,100.0291,28.38,78,100,6.95,TH,1730174748
237,karratha,-20.7377,116.8463,35.16,37,6,5.2,AU,1730174749
238,holualoa,19.6228,-155.9522,24.91,93,20,4.12,US,1730174643
239,alice springs,-23.7,133.8833,33.75,9,84,6.69,AU,1730174296
240,mossel bay,-34.1831,22.146,15.96,86,93,6.67,ZA,1730174660
241,broken hill,-31.95,141.4333,25.69,19,0,4.44,AU,1730174755
242,port-gentil,-0.7193,8.7815,25.55,87,100,3.59,GA,1730174756
243,puerto colombia,10.9878,-74.9547,29.05,82,98,1.67,CO,1730174757
244,avon,41.4517,-82.0354,11.48,59,75,4.63,US,1730174759
245,ancud,-41.8697,-73.8203,8.93,92,38,2.01,CL,1730174364
